"","Transaction ID","Date","value_date","narration","ref_no","mode","merchant_category","repeat_transaction_category","transaction amount  - Debit","transaction amount   - Credit","balance"
"97",97,"05/04/2018","05/04/2018","ACH DEBIT:HDFC BANK LIMITED,0000049597028",0,"ACH","Bank- ACH","--UNIQUE TRANSACTION-- ",-23101,0,"5627.99"
"98",98,"05/04/2018","05/04/2018","IMPS/P2A/809511028139/8087892952/9 791/COMMENTS",0,"IMPS","Bank Transfers","--UNIQUE TRANSACTION-- ",0,24300,"29927.99"
"99",99,"06/04/2018","06/04/2018","IMPS/P2A/809913891537/501002029188 73HDFC/OK",0,"IMPS","Bank Transfers","--UNIQUE TRANSACTION-- ",-2000,0,"27927.99"
"100",100,"06/04/2018","06/04/2018","IMPS/P2A/809917898991/3912718943K KBK/OK",0,"IMPS","Bank Transfers","--UNIQUE TRANSACTION-- ",-1000,0,"26927.99"
"101",101,"07/04/2018","07/04/2018","ACH DEBIT:HDFC BANK LIMITED,0000048995809",0,"ACH","Bank- ACH","--UNIQUE TRANSACTION-- ",-18995,0,"7932.99"
"102",102,"07/04/2018","07/04/2018","IMPS/P2A/809719924399/501002029188 73HDFC/OK",0,"IMPS","Bank Transfers","--UNIQUE TRANSACTION-- ",-7000,0,"932.99"
"103",103,"08/04/2018","08/04/2018","IMPS/P2A/809814943459/091011100009 448ABHY/OK",0,"IMPS","Bank Transfers","--UNIQUE TRANSACTION-- ",-1,0,"931.99"
"104",104,"08/04/2018","08/04/2018","IMPS/P2A/809814943513/091011100009 448ABHY/OK",0,"IMPS","Bank Transfers","--UNIQUE TRANSACTION-- ",-500,0,"431.99"
"105",105,"09/04/2018","09/04/2018","IMPS/P2A/808817074379/9099092177/9 791/COMMENTS",0,"IMPS","Bank Transfers","--UNIQUE TRANSACTION-- ",0,25000,"25431.99"
"106",106,"10/04/2018","10/04/2018","IMPS/P2A/810001982915/3912718943K KBK/",0,"IMPS","Bank Transfers","--UNIQUE TRANSACTION-- ",-24000,0,"1431.99"
"107",107,"10/04/2018","10/04/2018","IMPS/P2A/810017332971/8821851002/9 240/OK",0,"IMPS","Bank Transfers","--UNIQUE TRANSACTION-- ",0,20000,"21431.99"
"108",108,"10/04/2018","10/04/2018","IMPS/P2A/810017002484/3912718943K KBK/OK",0,"IMPS","Bank Transfers","--UNIQUE TRANSACTION-- ",-20000,0,"1431.99"
"109",109,"12/04/2018","12/04/2018","CRTR*4701/000000177489/WC **99/12 -04-2018",0,"0","CHEQUE","--UNIQUE TRANSACTION-- ",0,17400,"18831.99"
"110",110,"12/04/2018","12/04/2018","CRTR*4701/000000177492/WC **99/12 -04-2018",0,"0","CHEQUE","--UNIQUE TRANSACTION-- ",0,3500,"22331.99"
"111",111,"13/04/2018","13/04/2018","NEFT-OOPSCODE INFOTECH PRIVATE LIMITED-INDB0000009",0,"NEFT","Bank Transfers","REPEATING TRANSACTION--  NEFT-OOPSCODE INFOTE   172000",0,172000,"194331.99"
"112",112,"13/04/2018","13/04/2018","CRTR*4701/000000177372/WC **99/13 -04-2018",0,"0","CHEQUE","--UNIQUE TRANSACTION-- ",0,20000,"214331.99"
"113",113,"14/04/2018","14/04/2018","IMPS/P2A/810413109092/501002029188 73HDFC/",0,"IMPS","Bank Transfers","--UNIQUE TRANSACTION-- ",-74000,0,"140331.99"
